x1,y1,z1,x2,y2,z2,x3,y3,z3
9/6/2022,9 SEP 22 0.5 C,2,9/7/2022,9 SEP 22 0.5 C,2,9/8/2022,9 SEP 22 0.5 C,2
9/6/2022,9 SEP 22 1 C,515,9/7/2022,9 SEP 22 1 C,515,9/8/2022,9 SEP 22 1 C,515
9/6/2022,9 SEP 22 1.5 C,2855,9/7/2022,9 SEP 22 1.5 C,2855,9/8/2022,9 SEP 22 1.5 C,2855
9/6/2022,9 SEP 22 2 C,1640,9/7/2022,9 SEP 22 2 C,1640,9/8/2022,9 SEP 22 2 C,1640
9/6/2022,9 SEP 22 2.5 C,462,9/7/2022,9 SEP 22 2.5 C,462,9/8/2022,9 SEP 22 2.5 C,462
9/6/2022,9 SEP 22 3 C,13,9/7/2022,9 SEP 22 3 C,13,9/8/2022,9 SEP 22 3 C,13
9/6/2022,9 SEP 22 3.5 C,1,9/7/2022,9 SEP 22 3.5 C,1,9/8/2022,9 SEP 22 3.5 C,1
9/6/2022,16 SEP 22 0.5 C,6,9/7/2022,16 SEP 22 0.5 C,6,9/8/2022,16 SEP 22 0.5 C,6
9/6/2022,16 SEP 22 1 C,280,9/7/2022,16 SEP 22 1 C,280,9/8/2022,16 SEP 22 1 C,280
9/6/2022,16 SEP 22 1.5 C,2511,9/7/2022,16 SEP 22 1.5 C,2511,9/8/2022,16 SEP 22 1.5 C,2511
9/6/2022,16 SEP 22 2 C,3608,9/7/2022,16 SEP 22 2 C,3608,9/8/2022,16 SEP 22 2 C,3608
9/6/2022,16 SEP 22 2.5 C,3158,9/7/2022,16 SEP 22 2.5 C,3158,9/8/2022,16 SEP 22 2.5 C,3158
9/6/2022,16 SEP 22 3 C,1299,9/7/2022,16 SEP 22 3 C,1299,9/8/2022,16 SEP 22 3 C,1299
9/6/2022,16 SEP 22 4 C,615,9/7/2022,16 SEP 22 4 C,615,9/8/2022,16 SEP 22 4 C,615
9/6/2022,23 SEP 22 0.5 C,2,9/7/2022,23 SEP 22 0.5 C,2,9/8/2022,23 SEP 22 0.5 C,2
9/6/2022,23 SEP 22 1 C,57,9/7/2022,23 SEP 22 1 C,57,9/8/2022,23 SEP 22 1 C,57
9/6/2022,23 SEP 22 1.5 C,662,9/7/2022,23 SEP 22 1.5 C,662,9/8/2022,23 SEP 22 1.5 C,662
9/6/2022,23 SEP 22 2 C,517,9/7/2022,23 SEP 22 2 C,517,9/8/2022,23 SEP 22 2 C,517
9/6/2022,23 SEP 22 2.5 C,611,9/7/2022,23 SEP 22 2.5 C,611,9/8/2022,23 SEP 22 2.5 C,611
9/6/2022,23 SEP 22 3 C,112,9/7/2022,23 SEP 22 3 C,112,9/8/2022,23 SEP 22 3 C,112
9/6/2022,23 SEP 22 3.5 C,11,9/7/2022,23 SEP 22 3.5 C,11,9/8/2022,23 SEP 22 3.5 C,11
9/6/2022,30 SEP 22 0.5 C,1,9/7/2022,30 SEP 22 0.5 C,1,9/8/2022,30 SEP 22 0.5 C,1
9/6/2022,30 SEP 22 1 C,30,9/7/2022,30 SEP 22 1 C,30,9/8/2022,30 SEP 22 1 C,30
9/6/2022,30 SEP 22 1.5 C,1676,9/7/2022,30 SEP 22 1.5 C,1676,9/8/2022,30 SEP 22 1.5 C,1676
9/6/2022,30 SEP 22 2 C,664,9/7/2022,30 SEP 22 2 C,664,9/8/2022,30 SEP 22 2 C,664
9/6/2022,30 SEP 22 2.5 C,95,9/7/2022,30 SEP 22 2.5 C,95,9/8/2022,30 SEP 22 2.5 C,95
9/6/2022,30 SEP 22 3 C,12,9/7/2022,30 SEP 22 3 C,12,9/8/2022,30 SEP 22 3 C,12
9/6/2022,30 SEP 22 3.5 C,4,9/7/2022,30 SEP 22 3.5 C,4,9/8/2022,30 SEP 22 3.5 C,4
9/6/2022,7 OCT 22 1 C,2,9/7/2022,7 OCT 22 1 C,2,9/8/2022,7 OCT 22 1 C,2
9/6/2022,7 OCT 22 1.5 C,309,9/7/2022,7 OCT 22 1.5 C,309,9/8/2022,7 OCT 22 1.5 C,309
9/6/2022,7 OCT 22 2 C,85,9/7/2022,7 OCT 22 2 C,85,9/8/2022,7 OCT 22 2 C,85
9/6/2022,7 OCT 22 2.5 C,5,9/7/2022,7 OCT 22 2.5 C,5,9/8/2022,7 OCT 22 2.5 C,5
9/6/2022,14 OCT 22 1.5 C,49,9/7/2022,14 OCT 22 1.5 C,49,9/8/2022,14 OCT 22 1.5 C,49
9/6/2022,14 OCT 22 2.5 C,1,9/7/2022,14 OCT 22 2.5 C,1,9/8/2022,14 OCT 22 2.5 C,1
9/6/2022,21 OCT 22 0.5 C,71,9/7/2022,21 OCT 22 0.5 C,71,9/8/2022,21 OCT 22 0.5 C,71
9/6/2022,21 OCT 22 1 C,417,9/7/2022,21 OCT 22 1 C,417,9/8/2022,21 OCT 22 1 C,417
9/6/2022,21 OCT 22 1.5 C,2019,9/7/2022,21 OCT 22 1.5 C,2019,9/8/2022,21 OCT 22 1.5 C,2019
9/6/2022,21 OCT 22 2 C,5586,9/7/2022,21 OCT 22 2 C,5586,9/8/2022,21 OCT 22 2 C,5586
9/6/2022,21 OCT 22 2.5 C,4454,9/7/2022,21 OCT 22 2.5 C,4454,9/8/2022,21 OCT 22 2.5 C,4454
9/6/2022,21 OCT 22 3 C,2041,9/7/2022,21 OCT 22 3 C,2041,9/8/2022,21 OCT 22 3 C,2041
9/6/2022,21 OCT 22 3.5 C,862,9/7/2022,21 OCT 22 3.5 C,862,9/8/2022,21 OCT 22 3.5 C,862
9/6/2022,21 OCT 22 4 C,1620,9/7/2022,21 OCT 22 4 C,1620,9/8/2022,21 OCT 22 4 C,1620
9/6/2022,21 OCT 22 4.5 C,457,9/7/2022,21 OCT 22 4.5 C,457,9/8/2022,21 OCT 22 4.5 C,457
9/6/2022,21 OCT 22 5 C,1562,9/7/2022,21 OCT 22 5 C,1562,9/8/2022,21 OCT 22 5 C,1562
9/6/2022,16 DEC 22 0.5 C,122,9/7/2022,16 DEC 22 0.5 C,122,9/8/2022,16 DEC 22 0.5 C,122
